index,,Lower Salary Estimate,Higher Salary Estimate,Rating,Company,Location,State,Headquarters,"State,Country",Siz,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Count of Competitors,Machine Learning,Count of Machine Learning,
517,Data Scientist,212.00,331.00,2.7,"Hexagon US Federal
",Lexington Park, MD,Chantilly, VA,51 to 200 ,2010,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,No,,
518,Data Science Software Engineer,212.00,331.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
519,"Scientist / Group Lead, Cancer Biology",212.00,331.00,Unknown,Monte Rosa Therapeut,Cambridge, MA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
520,Data Scientist,212.00,331.00,4,"Comtech Global Inc
",Washington, DC,Columbus, OH,51 to 200 ,Unknown,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million ,None,0,No,,
521,Data Scientist,212.00,331.00,3.8,"Aveshka, Inc.
",Washington, DC,Arlington, VA,51 to 200 ,2010,Company - Public,IT Services,Information Technology,$10 to $25 million ,None,0,No,,
522,"Manager, Field Application Scientist",212.00,331.00,4.2,"10x Genomics
",Raleigh, NC,Pleasanton, CA,501 to 1000 ,2012,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
523,Computer Scientist - Engineer - Research Computer Scientist - Signal Processing,212.00,331.00,3.9,"Southwest Research Institute
",Dayton, OH,San Antonio, TX,1001 to 5000 ,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion ,"Los Alamos National Laboratory, Battelle, SRI International",7,No,,
524,Data Scientist,212.00,331.00,Unknown,CompuFo,New York, NY,New York, NY,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
525,Data Scientist,212.00,331.00,4.5,"Smith Hanley Associates
",Washington, DC,New York,61,1 to 50 ,1980,Company - Private,Staffing & Outsourcing,Business Services,Unknown,"Kforce, PageGroup, Robert Half",4,No,,
526,Scientist - Machine Learning,212.00,331.00,3.5,"Allen Institute
",Seattle, WA,Seattle, WA,201 to 500 ,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million ,None,0,Yes,,
527,Data Scientist,212.00,331.00,2.7,"1-800-Flowers
",New York, NY,Carle Place, NY,1001 to 5000 ,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion ,None,0,No,,
528,Data Scientist,212.00,331.00,3.5,"Aptive
",Washington, DC,Alexandria, VA,51 to 200 ,2012,Company - Private,Consulting,Business Services,$25 to $50 million ,None,0,No,,
529,Data Scientist - Image And Video Analytics,66.00,112.00,4.9,"The Mom Project
",Longmont, CO,Chicago, IL,1 to 50 ,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown,None,0,No,,
530,Data Scientist,66.00,112.00,3.6,"Powertek
",Washington, DC,Rockville, MD,51 to 200 ,2001,Company - Private,IT Services,Information Technology,$25 to $50 million ,None,0,No,,
531,Data Scientist,66.00,112.00,5,"JCD Staffing
",Washington, DC,Germantown, MD,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
532,Data Scientist,66.00,112.00,3.1,"Bayside Solutions
",Sunnyvale, CA,Pleasanton, CA,1 to 50 ,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million ,None,0,No,,
533,Senior Data Engineer,66.00,112.00,3.9,"Thumbtack
",San Francisco, CA,San Francisco, CA,501 to 1000 ,2009,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
534,Data Scientist,66.00,112.00,3.4,"MILVETS Systems Technology, Inc.
",Patuxent, Anne Arundel,Orlando, FL,51 to 200 ,1986,Company - Private,IT Services,Information Technology,$25 to $50 million ,None,0,No,,
535,Machine Learning Scientist / Engineer,66.00,112.00,4.1,"Apple
",Santa Clara, CA,Cupertino, CA,10000+ ,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion ,"Google, Microsoft, Samsung Electronics",4,Yes,,
536,Data Scientist,66.00,112.00,4.1,"Kforce
",Fairfax, VA,Tampa, FL,10000+ ,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion ,None,0,No,,
537,Sr. Data Scientist,66.00,112.00,3.5,"Evolve Vacation Rental
",Denver, CO,Denver, CO,201 to 500 ,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown,None,0,No,,
538,"Intelligence Data Analyst, Senior",66.00,112.00,4.3,"The Buffalo Group
",Fort Belvoir, VA,Reston, VA,501 to 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million ,"ManTech, Booz Allen Hamilton, Leidos",5,No,,
539,Data Science Analyst,66.00,112.00,4.4,"OppLoans
",Chicago, IL,Chicago, IL,201 to 500 ,2012,Company - Private,Lending,Finance,$100 to $500 million ,None,0,No,,
540,Data Scientist,66.00,112.00,3.8,"AgreeYa Solutions
",Thousand Oaks, CA,Folsom, CA,1001 to 5000 ,1999,Company - Private,IT Services,Information Technology,$50 to $100 million ,None,0,No,,
541,Data Scientist,66.00,112.00,3.7,"Carolina Power & Light Co
",McLean, VA,Raleigh, NC,5001 to 10000 ,1908,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown,"South Carolina Electric & Gas, Virginia Electric and Power",9,No,,
542,Computer Scientist - Engineer - Research Computer Scientist - Transportation Technology,66.00,112.00,3.9,"Southwest Research Institute
",San Antonio, TX,San Antonio, TX,1001 to 5000 ,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion ,"Los Alamos National Laboratory, Battelle, SRI International",7,No,,
543,Data Scientist,66.00,112.00,3.9,"Brillient
",Silver Spring, MD,Reston, VA,501 to 1000 ,2006,Company - Private,IT Services,Information Technology,$25 to $50 million ,None,0,No,,
544,Data Modeler (Analytical Systems),66.00,112.00,3.7,"MassMutual
",Boston, MA,Springfield, MA,5001 to 10000 ,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion ,None,0,No,,
545,Data Scientist,66.00,112.00,2.9,"Xator Corporation
",Washington, DC,Reston, VA,501 to 1000 ,Unknown,Contract,IT Services,Information Technology,$25 to $50 million ,None,0,No,,
546,Data Scientist,66.00,112.00,4.6,"HAN IT Staffing Inc.
",New York, NY,Totowa, NJ,51 to 200 ,2012,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
547,Data Scientist,66.00,112.00,3.4,"Infinitive Inc
",McLean, VA,Cedar Rapids, IA,201 to 500 ,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million ,None,0,No,,
548,"Data Engineer (Analytics, Sql, Python, Aws)",66.00,112.00,4,"Travelers
",Hartford, CT,Hartford, CT,10000+ ,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion ,None,0,No,,
549,Data Scientist 3,128.00,201.00,3.3,"Amyris
",Emeryville, CA,Emeryville, CA,201 to 500 ,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,None,0,No,,
550,Data Scientist,128.00,201.00,4.3,"Lightspeed Systems
",Austin, TX,Austin, TX,51 to 200 ,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million ,None,0,No,,
551,Senior Data Scientist,128.00,201.00,3.9,"Thumbtack
",San Francisco, CA,San Francisco, CA,501 to 1000 ,2009,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
552,Senior Data Analyst - Finance & Platform Analytics,128.00,201.00,3.6,"Twitch
",San Francisco, CA,San Francisco, CA,1001 to 5000 ,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown,None,0,No,,
553,Software Engineer - Machine Learning & Data Science,128.00,201.00,4.7,"New Relic
",Portland, OR,San Francisco, CA,1001 to 5000 ,2008,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million ,"AppDynamics, Datadog, Dynatrace",3,Yes,,
554,It Partner Digital Health Technology And Data Science,128.00,201.00,3.6,"Biogen
",Cambridge, MA,Cambridge, MA,5001 to 10000 ,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,No,,
555,Data Scientist,128.00,201.00,Unknown,Hir,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
556,Senior Machine Learning Scientist,128.00,201.00,3.3,"Tempus Labs
",Redwood City, CA,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
557,Data Scientist,128.00,201.00,3.3,"ICW Group
",San Diego, CA,San Diego, CA,501 to 1000 ,1972,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion ,"Liberty Mutual Insurance, EMPLOYERS, Travelers",5,No,,
558,Clinical Data Analyst,128.00,201.00,3.8,"NYSTEC
",New York, NY,Rome, NY,51 to 200 ,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million ,"KPMG, Accenture, Deloitte",3,No,,
559,Data Scientist,128.00,201.00,4.5,"E3 Federal Solutions
",Chantilly, VA,McLean, VA,501 to 1000 ,2004,Company - Private,Consulting,Business Services,Unknown,None,0,No,,
560,Data Engineer,128.00,201.00,4.5,"Kingfisher Systems
",Falls Church, VA,Falls Church, VA,51 to 200 ,2005,Company - Private,Federal Agencies,Government,$25 to $50 million ,None,0,No,,
561,Data Scientist Technical Specialist,128.00,201.00,3.4,"Peraton
",Chantilly, VA,Herndon, VA,1001 to 5000 ,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion ,None,0,No,,
562,Senior Data Scientist,128.00,201.00,3.1,"Group O
",Chicago, IL,Milan, IL,1001 to 5000 ,1974,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion ,None,0,No,,
563,Data Science Manager,128.00,201.00,4,"Autodesk
",San Francisco, CA,San Rafael, CA,5001 to 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,None,0,No,,
564,Computer Vision / Deep Learning Scientist,128.00,201.00,3.3,"Tempus Labs
",Chicago, IL,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
565,Big Data Engineer,128.00,201.00,4.1,"CaptiveAire
",Raleigh, NC,Raleigh, NC,1001 to 5000 ,1976,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million ,None,0,No,,
566,Data Architect,128.00,201.00,4.2,"LSQ
",Orlando, FL,Orlando, FL,51 to 200 ,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million ,None,0,No,,
567,Machine Learning Engineer,128.00,201.00,3.9,"Temboo
",New York, NY,New York, NY,1 to 50 ,Unknown,Company - Private,IT Services,Information Technology,Unknown,None,0,Yes,,
568,Data Scientist,128.00,201.00,Unknown,K,Philadelphia, PA,Marbella, Spain,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,None,0,No,,
569,Aviation Ai/Ml Data Scientist,128.00,201.00,3.3,"MITRE
",McLean, VA,Bedford, MA,5001 to 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion ,"Battelle, General Atomics, SAIC",4,No,,
570,Data Scientist,138.00,158.00,3.9,"Mars
",United States,,Mc Lean, VA,10000+ ,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion ,None,0,No,,
571,Data Scientist / Applied Mathematician,138.00,158.00,4.5,"Fullpower Technologies, Inc.
",Santa Cruz, CA,Santa Cruz, CA,51 to 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million ,None,0,No,,
572,"Machine Learning Engineer, Sr.",138.00,158.00,4.2,"AeroVironment
",Simi Valley, CA,Simi Valley, CA,501 to 1000 ,1971,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,"General Atomics, Boeing, Northrop Grumman",5,Yes,,
573,Data Scientist,138.00,158.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
574,Weapons And Sensors Engineer/Scientist,138.00,158.00,4,"Dynetics
",Huntsville, AL,Huntsville, AL,1001 to 5000 ,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,None,0,No,,
575,Applied Computer Scientist,138.00,158.00,4.5,"Systems & Technology Research
",Woburn, MA,Woburn, MA,201 to 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,None,0,No,,
576,Senior Data Analyst,138.00,158.00,4.5,"Novetta
",Herndon, VA,Mc Lean, VA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,"Leidos, CACI International, Booz Allen Hamilton",6,No,,
577,Information Systems Engineering Specialist (Engineering Scientist),138.00,158.00,3.8,"Applied Research Laboratories
",Austin, TX,Austin, TX,501 to 1000 ,Unknown,College / University,Colleges & Universities,Education,Unknown,None,0,No,,
578,Cloud Data Engineer (Azure),138.00,158.00,3.9,"Navy Federal Credit Union
",Merrifield, VA,Vienna, VA,10000+ ,1933,Other Organization,Banks & Credit Unions,Finance,Unknown,None,0,No,,
579,Scientist/Research Associate-Metabolic Engineering,138.00,158.00,2,"Conagen
",New Bedford, MA,Bedford, MA,51 to 200 ,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
580,"Vice President, Biometrics And Clinical Data Management",138.00,158.00,4.8,"Alector
",South San Francisco, CA,South San Francisco, CA,51 to 200 ,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
581,Enterprise Data Analyst (Enterprise Portfolio Management Office),138.00,158.00,3.9,"Navy Federal Credit Union
",Merrifield, VA,Vienna, VA,10000+ ,1933,Other Organization,Banks & Credit Unions,Finance,Unknown,None,0,No,,
582,Senior Scientist - Toxicologist - Product Integrity (Stewardship),138.00,158.00,3.3,"Reynolds American
",Winston-Salem, NC,Winston-Salem, NC,5001 to 10000 ,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion ,None,0,No,,
583,Lead Data Scientist Network Analysis And Control,138.00,158.00,3.3,"MITRE
",Bedford, MA,Bedford, MA,5001 to 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion ,"Battelle, General Atomics, SAIC",4,No,,
584,Senior Machine Learning Engineer,138.00,158.00,5,"LifeOmic
",Raleigh, NC,Indianapolis, IN,51 to 200 ,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,Yes,,
585,"Sr. Research Associate/ Scientist, Ngs Prep & Molecular Genomics",138.00,158.00,4.4,"Homology Medicines, Inc.
",New Bedford, MA,Bedford, MA,51 to 200 ,Unknown,Company - Public,Unknown,Unknown,Unknown,None,0,No,,
586,Data Engineer,138.00,158.00,3.4,"Spectrum Communications and Consulting
",Chicago, IL,Chicago, IL,51 to 200 ,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,None,0,No,,
587,Developer Iii - Data Science,138.00,158.00,3.3,"Inland Empire Health Plan
",Rancho Cucamonga, CA,Rancho Cucamonga, CA,1001 to 5000 ,1996,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion ,None,0,No,,
588,Senior Data Engineer,138.00,158.00,2.9,"Affinity Solutions
",New York, NY,New York, NY,51 to 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown,"Commerce Signals, Cardlytics, Yodlee",4,No,,
589,Hydrogen/Tritium Materials Scientist (Experienced),138.00,158.00,3.8,"Sandia National Laboratories
",Livermore, CA,Albuquerque, NM,10000+ ,1949,Government,Federal Agencies,Government,$2 to $5 billion ,"Los Alamos National Laboratory, Lawrence Livermore National Laboratory",8,No,,
590,Data Engineer,138.00,158.00,3.5,"Maxar Technologies
",McLean, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
591,Patient Safety- Associate Data Scientist,80.00,132.00,4,"AstraZeneca
",Gaithersburg, MD,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
592,Senior Data Scientist,80.00,132.00,4,"Autodesk
",San Francisco, CA,San Rafael, CA,5001 to 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,None,0,No,,
593,Data Scientist,80.00,132.00,3.4,"USI
",Southfield, MI,Saint Paul, MN,1001 to 5000 ,1998,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million ,None,0,No,,
594,Data Scientist,80.00,132.00,3.9,"GSK
",Collegeville, PA,Brentford, United Kingdom,10000+ ,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Pfizer, AstraZeneca, Merck",3,No,,
595,Data Scientist,80.00,132.00,3.8,"CIA
",Washington, DC,Langley, VA,Unknown,1947,Government,Federal Agencies,Government,Unknown,None,0,No,,
596,Data Scientist,80.00,132.00,4.5,"Maven Wave Partners
",Chicago, IL,Chicago, IL,201 to 500 ,2008,Company - Private,Consulting,Business Services,$50 to $100 million ,None,0,No,,
597,Data Scientist,80.00,132.00,4.3,"Ovative Group
",Minneapolis, MN,Minneapolis, MN,51 to 200 ,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,None,0,No,,
598,Data Scientist,80.00,132.00,3.6,"Kognetics
",Gahanna, OH,New York, NY,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
599,Data Scientist,80.00,132.00,2.9,"Envision Healthcare
",Nashville, TN,Nashville, TN,10000+ ,2005,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,None,0,No,,
600,Data Scientist,80.00,132.00,2.9,"Pragmatics, Inc.
",United States,,Reston, VA,201 to 500 ,1985,Company - Private,IT Services,Information Technology,$100 to $500 million ,None,0,No,,
601,Data Scientist,80.00,132.00,3.2,"ConsumerTrack
",California,,Los Angeles, CA,51 to 200 ,2004,Company - Private,Internet,Information Technology,$25 to $50 million ,None,0,No,,
602,Decision Scientist,80.00,132.00,4.5,"Johns Hopkins University Applied Physics Laboratory
",Laurel, MD,Laurel, MD,5001 to 10000 ,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion ,"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",7,No,,
603,Data Scientist,80.00,132.00,5,"Phoenix Operations Group
",Annapolis Junction, MD,Woodbine, MD,1 to 50 ,2011,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
604,Data Scientist,80.00,132.00,3.5,"Crossover Health
",San Clemente, CA,Aliso Viejo, CA,1 to 50 ,2010,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million ,None,0,No,,
605,Data Scientist,80.00,132.00,4,"Lorven Technologies Inc
",New York, NY,Plainsboro, NJ,1 to 50 ,Unknown,Company - Private,Accounting,Accounting & Legal,Less than $1 million ,None,0,No,,
606,Data Scientist,80.00,132.00,4.4,"Meridian Knowledge Solutions
",Washington, DC,Reston, VA,51 to 200 ,1997,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,None,0,No,,
607,Data Scientist,80.00,132.00,4.2,"UST Global
",Atlanta, GA,Aliso Viejo, CA,10000+ ,1999,Company - Private,IT Services,Information Technology,$1 to $2 billion ,"Cognizant Technology Solutions, Infosys, Wipro",5,No,,
608,Data Scientist,80.00,132.00,3.2,"IMG Systems
",Plano, TX,Plano, TX,1 to 50 ,Unknown,Company - Private,Consulting,Business Services,$1 to $5 million ,None,0,No,,
609,Data Scientist,80.00,132.00,3.4,"Trident Systems Inc
",Fairfax, VA,Fairfax, VA,51 to 200 ,1985,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million ,None,0,No,,
610,Data Scientist,80.00,132.00,4.7,"Tygart Technology, Inc
",Washington, DC,Fairmont, WV,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,$1 to $5 million ,None,0,No,,
611,(Sr.) Data Scientist -,87.00,141.00,3.6,"Merrick Bank
",Utah,,South Jordan, UT,201 to 500 ,1997,Company - Private,Banks & Credit Unions,Finance,Unknown,None,0,No,,
612,Senior Data Scientist,87.00,141.00,4.2,"ManTech
",Alexandria, VA,Herndon, VA,5001 to 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion ,None,0,No,,
613,Data Scientist,87.00,141.00,Unknown,"GrainBridge, ",Omaha, NE,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
614,Data Scientist,87.00,141.00,3.2,"First Health Group
",Wellesley, MA,Bethesda, MD,10000+ ,1853,Company - Private,Insurance Carriers,Insurance,$10+ billion ,Humana,1,No,,
615,Data Scientist,87.00,141.00,Unknown,Sprezzatura Management Consult,Washington, VA,McLean, VA,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
616,Data Scientist,87.00,141.00,2.8,"Progress Rail, A Caterpillar Company
",Fort Worth, TX,Albertville, AL,1001 to 5000 ,1983,Subsidiary or Business Segment,Rail,Transportation & Logistics,$2 to $5 billion ,None,0,No,,
617,Data Scientist,87.00,141.00,4.2,"UST Global
",Atlanta, GA,Aliso Viejo, CA,10000+ ,1999,Company - Private,IT Services,Information Technology,$1 to $2 billion ,"Cognizant Technology Solutions, Infosys, Wipro",5,No,,
618,Data Scientist,87.00,141.00,4.5,"Axiologic Solutions
",Alexandria, VA,Fairfax, VA,51 to 200 ,2009,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,No,,
619,Data Scientist,87.00,141.00,3,"Indigo Slate
",Bellevue, WA,Bellevue, WA,51 to 200 ,2006,Company - Private,Consulting,Business Services,$10 to $25 million ,None,0,No,,
620,Data Scientist,87.00,141.00,3.3,"Cubic
",United States,,San Diego, CA,5001 to 10000 ,1951,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion ,"Accenture, Northrop Grumman, Xerox",4,No,,
621,Data Scientist,87.00,141.00,4,"Advanced Bio-Logic Solutions Corp
",Thousand Oaks, CA,Westlake Village, CA,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Less than $1 million ,None,0,No,,
622,Data Engineer,87.00,141.00,3.5,"Alignment Healthcare
",Orange, CA,Orange, CA,501 to 1000 ,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,None,0,No,,
623,Data Scientist,87.00,141.00,3.5,"WGSN
",Baltimore, MD,New York, NY,1 to 50 ,1998,Company - Private,Consulting,Business Services,$50 to $100 million ,None,0,No,,
624,Data Scientist,87.00,141.00,3.6,"ISYS Technologies, Inc.
",Herndon, VA,Littleton, CO,51 to 200 ,1990,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million ,None,0,No,,
625,Data Scientist,87.00,141.00,3,"TransVoyant
",Alexandria, VA,Alexandria, VA,51 to 200 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
626,Data Scientist/Data Analytics Practitioner,87.00,141.00,4,"Noblis
",Bridgeport, WV,Reston, VA,1001 to 5000 ,1996,Nonprofit Organization,Consulting,Business Services,$100 to $500 million ,"Booz Allen Hamilton, SAIC, LMI",5,No,,
627,Data Scientist,87.00,141.00,4.6,"Murray Resources
",The Woodlands, TX,Houston, TX,1 to 50 ,1988,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million ,None,0,No,,
628,Data Scientist,87.00,141.00,4.3,"Geotab
",Oakville, CA,Oakville, Canada,1001 to 5000 ,2000,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million ,None,0,No,,
629,Data Scientist,87.00,141.00,4.7,"CRS Group
",Chicago, IL,Itasca, IL,51 to 200 ,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million ,None,0,No,,
630,Data Scientist,87.00,141.00,3.7,"EGlobalTech
",Arlington, VA,Vienna, VA,201 to 500 ,2004,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
631,Data Scientist,92.00,155.00,3.9,"Mars
",New York, NY,Mc Lean, VA,10000+ ,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion ,None,0,No,,
632,Data Scientist,92.00,155.00,4.9,"Avlino
",New Jersey,,Holmdel, NJ,1 to 50 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million ,None,0,No,,
633,Data Scientist,92.00,155.00,3,"Central Business Solutions, Inc
",Seattle, WA,Fremont, CA,51 to 200 ,Unknown,Company - Private,Consulting,Business Services,$5 to $10 million ,None,0,No,,
634,Data Scientist,92.00,155.00,2.5,"KeHE Distributors
",Naperville, IL,Naperville, IL,5001 to 10000 ,1954,Company - Private,Wholesale,Business Services,Unknown,"United Natural Foods, US Foods, DPI Specialty Foods",8,No,,
635,Data Scientist,92.00,155.00,3.5,"Blackstone Talent Group
",San Francisco, CA,San Francisco, CA,51 to 200 ,1998,Company - Private,Consulting,Business Services,$25 to $50 million ,None,0,No,,
636,Data Scientist,92.00,155.00,5,"Phoenix Operations Group
",Baltimore, MD,Woodbine, MD,1 to 50 ,2011,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
637,Data Scientist,92.00,155.00,Unknown,Sophi,Chantilly, VA,Unknown,,1 to 50 ,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
638,Senior Data Scientist,92.00,155.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
639,Data Scientist,92.00,155.00,3,"Moxie Software
",Bellevue, WA,San Bruno, CA,51 to 200 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,"LivePerson, Salesforce, SAP",3,No,,
640,Data Scientist(S)/Machine Learning Engineer,92.00,155.00,5,"Blue Horizon Tek Solutions
",New York, NY,Coconut Creek, FL,1 to 50 ,1987,Company - Private,Staffing & Outsourcing,Business Services,Unknown,None,0,Yes,,
641,Data Scientist,92.00,155.00,4.7,"Unicom Technologies INC
",Chicago, IL,Naperville, IL,51 to 200 ,Unknown,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
642,Data Engineer,92.00,155.00,3.3,"Americo Life
",Kansas City, MO,Kansas City, MO,201 to 500 ,1992,Company - Private,Insurance Carriers,Insurance,$100 to $500 million ,None,0,No,,
643,Data Scientist,92.00,155.00,3.3,"Tokio Marine HCC
",Houston, TX,Houston, TX,1001 to 5000 ,1974,Company - Private,Insurance Carriers,Insurance,Unknown,"Zurich Insurance, AXA XL, Allianz",5,No,,
644,Data Scientist,92.00,155.00,3.5,"CACI International
",Chantilly, VA,Arlington, VA,10000+ ,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,"CSC, ManTech, SAIC",3,No,,
645,"Ai/Ml - Machine Learning Scientist, Siri Understanding",92.00,155.00,4.1,"Apple
",Santa Clara, CA,Cupertino, CA,10000+ ,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion ,"Google, Microsoft, Samsung Electronics",4,Yes,,
646,Data Scientist,92.00,155.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
